"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000137959",1.69644368841123,7.25693113849839,25.2572697273892,6.200606822405e-07,9.75971301886552e-07,"+","ENSG00000137959"
"ENSG00000134504",1.69632717855168,3.31789069197119,59.3172331417655,3.99060471714155e-14,8.6795318152244e-14,"+","ENSG00000134504"
"ENSG00000097046",1.69622243029931,4.99140393343738,230.085370906136,7.7968046464707e-46,5.46576645557017e-45,"+","ENSG00000097046"
"ENSG00000084710",1.69599787428233,1.20726873590028,36.0082192627338,2.98338063042306e-09,5.26125945370612e-09,"+","ENSG00000084710"
"ENSG00000099953",1.69505811533544,3.45218587318319,78.2502577678315,5.79705620220583e-18,1.46432940003548e-17,"+","ENSG00000099953"
"ENSG00000125482",1.69336814186279,6.1974282138217,307.302834471889,2.02833324407912e-58,2.19696595786065e-57,"+","ENSG00000125482"
"ENSG00000169891",1.69263301547318,2.62524357738834,71.1178135050672,1.57572790488614e-16,3.78922262672396e-16,"+","ENSG00000169891"
"ENSG00000153046",1.68978411200131,6.38552751890667,279.863730207857,4.71765263842459e-54,4.41039341759348e-53,"+","ENSG00000153046"
"ENSG00000101445",1.68889768557666,7.54128805493415,50.6642452635211,2.45115924790326e-12,4.93962453809485e-12,"+","ENSG00000101445"
"ENSG00000048052",1.6881584705788,5.83032901766369,64.2316205011766,3.9381964411855e-15,8.90434518571582e-15,"+","ENSG00000048052"
